ID,Label
Q92637,1
O76082,1
P63098,1
O43497,1
P22792,1
P00167,1
P02144,1
P02766,1
P15153,1
P17050,1
P14920,1
O14556,1
P02749,1
P22413,1
Q969I3,1
Q92918,1
P16066,1
P48506,1
Q05209,1
P62241,1
O43175,1
Q99705,1
Q8WU08,1
P56373,1
P55011,1
P43657,1
Q8IVH8,1
P14679,1
Q9UQL6,1
P48549,1
Q13574,1
P25092,1
Q86U10,1
P40259,1
Q8IWU9,1
P11309,1
P49189,1
Q9UI09,1
Q99500,1
Q9UJM8,1
P16233,1
P43115,1
P10620,1
Q05513,1
Q7L266,1
Q96KK3,1
Q14872,1
P01583,1
Q8NBP7,1
Q13956,1
Q9UJS0,1
Q9H2X9,1
P19113,1
Q6IA69,1
Q96PR1,1
Q16665,1
P36894,1
P21333,1
Q9H3M0,1
Q08257,1
Q9Y2I1,1
P28482,1
P10912,1
Q6NS38,1
P08908,1
O95831,1
P11926,1
P45985,1
P20309,1
P43005,1
P04271,1
P23378,1
P16471,1
P32322,1
P11678,1
O75469,1
Q07020,1
P02458,1
P37058,1
P08648,1
O96000,1
P54687,1
P29972,1
P39023,1
Q8N8N7,1
P22459,1
P43166,1
P60842,1
Q10588,1
P14854,1
Q92570,1
P60880,1
P01308,1
P48745,1
O60285,1
P15692,1
P50406,1
Q14541,1
P09622,1
Q16270,1
Q9BYF1,1
Q05932,1
Q13315,1
P12235,1
Q7KZI7,1
Q6FHJ7,1
O43612,1
Q9NP56,1
P47895,1
P01876,1
P27816,1
P04181,1
Q02818,1
P49419,1
O14746,1
Q9P0L2,1
Q9BZV3,1
Q8TBX8,1
Q13698,1
Q9Y289,1
P00414,1
P04818,1
Q7LG56,1
P08922,1
P06756,1
O14939,1
P30872,1
P35579,1
P04234,1
P55055,1
P17900,1
Q8NFJ5,1
P09417,1
P16860,1
P20851,1
P13631,1
Q7Z2W7,1
P14618,1
Q9Y2U5,1
Q92731,1
P37802,1
P43004,1
Q07912,1
Q06830,1
Q16816,1
P20810,1
Q96RQ3,1
Q99928,1
P25311,1
Q13464,1
O76074,1
O95819,1
Q9NRF9,1
P51955,1
Q8NI22,1
P52564,1
Q15825,1
Q6ZMR3,1
Q14181,1
Q15185,1
Q7Z5B4,1
P23560,1
Q15208,1
P03901,1
P98164,1
P29597,1
Q9NWZ5,1
P35520,1
Q8IY84,1
